hole,sector,pin,rubric_score
6,9r,4,1.5
6,9r,5,1.5
6,8l,1,2.5
6,8l,2,2.5
6,8l,3,3
6,8l,4,3
6,8l,5,3
6,2,1,1.5
6,2,2,1.5
6,2,3,2
6,2,4,1.5
6,2,5,2
6,3,1,1.5
6,3,2,2
6,3,3,1.5
6,3,4,1.5
6,3,5,1.5
6,4l,1,3
6,4l,2,5
6,4l,3,5
6,4l,4,3.5
6,4l,5,4
6,4r,1,4
6,4r,2,5
6,4r,3,3.5
6,4r,4,5
6,4r,5,3
6,5l,1,4
6,5l,2,3
6,5l,3,4
6,5l,4,4
6,5l,5,5
6,5r,1,5
6,5r,2,2.5
6,5r,3,3.5
6,5r,4,4
6,5r,5,4
7,9o,1,1.5
7,9o,2,1.5
7,9o,3,1.5
7,9o,4,1
7,9o,5,1
7,9l,1,2
7,9l,2,2.5
7,9l,3,1.5
7,9l,4,2
7,9l,5,2.5
7,9r,1,2
7,9r,2,2.5
7,9r,3,2.5
7,9r,4,2
7,9r,5,2.5
7,7l,1,3
7,7l,2,3
7,7l,3,3
7,7l,4,3.5
7,7l,5,3.5
7,7r,1,2.5
7,7r,2,3
7,7r,3,3
7,7r,4,3
7,7r,5,3.5
7,1,1,2.5
7,1,2,2
7,1,3,2
7,1,4,3.5
7,1,5,2.5
7,2,1,1.5
7,2,2,1.5
7,2,3,1.5
7,2,4,2
7,2,5,2
7,2b,1,1.5
7,2b,2,1.5
7,2b,3,1.5
7,2b,4,2
7,2b,5,2
7,3,1,1.5
7,3,2,1.5
7,3,3,2
7,3,4,2
7,3,5,1.5
7,4l,1,4
7,4l,2,3.5
7,4l,3,3.5
7,4l,4,5
7,4l,5,5
7,4r,1,4.5
7,4r,2,3
7,4r,3,4
7,4r,4,4
7,4r,5,4.5
7,5l,1,3
7,5l,2,5
7,5l,3,4.5
7,5l,4,2.5
7,5l,5,3.5
7,5r,1,3
7,5r,2,4.5
7,5r,3,5
7,5r,4,2.5
7,5r,5,3.5
8,7ob,1,1
8,7ob,2,1
8,7ob,3,1
8,7ob,4,1
8,7ob,5,1
8,6,1,3.5
8,6,2,2.5
8,6,3,1.5
8,6,4,2.5
8,6,5,3.5
8,7l,1,1.5
8,7l,2,1.5
8,7l,3,2
8,7l,4,2
8,7l,5,1.5
8,7r,1,1.5
8,7r,2,2
8,7r,3,2
8,7r,4,1.5
8,7r,5,1.5
8,1,1,2.5
8,1,2,3
8,1,3,4.5
8,1,4,3
8,1,5,2.5
8,2,1,1
8,2,2,1
8,2,3,1
8,2,4,1
8,2,5,1
8,3,1,1
8,3,2,1
8,3,3,1
8,3,4,1
8,3,5,1
8,4l,1,3.5
8,4l,2,4
8,4l,3,5
8,4l,4,5
8,4l,5,3
8,4r,1,3
8,4r,2,5
8,4r,3,5
8,4r,4,4
8,4r,5,3.5
8,5l,1,5
8,5l,2,4
8,5l,3,3
8,5l,4,4
8,5l,5,4.5
8,5r,1,4.5
8,5r,2,4
8,5r,3,3
8,5r,4,4
8,5r,5,5
9,7ob,1,1
9,7ob,2,1.5
9,7ob,3,1.5
9,7ob,4,1.5
9,7ob,5,1.5
9,8l,1,2.5
9,8l,2,1.5
9,8l,3,2
9,8l,4,2
9,8l,5,1.5
9,8r,1,1
9,8r,2,1
9,8r,3,1
9,8r,4,1.5
9,8r,5,1
9,6,1,2
9,6,2,2.5
9,6,3,2.5
9,6,4,2.5
9,6,5,2.5
9,7l,1,3.5
9,7l,2,2.5
9,7l,3,3
9,7l,4,3
9,7l,5,2.5
9,7r,1,2
9,7r,2,2
9,7r,3,2
9,7r,4,2.5
9,7r,5,2
9,1,1,4.5
9,1,2,2.5
9,1,3,3
9,1,4,2.5
9,1,5,3
9,3,1,1.5
9,3,2,1.5
9,3,3,1.5
9,3,4,2
9,3,5,1.5
9,4l,1,5
9,4l,2,3.5
9,4l,3,4
9,4l,4,3.5
9,4l,5,4
9,4r,1,5
9,4r,2,3.5
9,4r,3,4
9,4r,4,3.5
9,4r,5,5
9,5l,1,3
9,5l,2,4.5
9,5l,3,5
9,5l,4,5
9,5l,5,4
9,5r,1,3
9,5r,2,5
9,5r,3,4
9,5r,4,4.5
9,5r,5,4.5
10,9o,1,1
10,9o,2,1.5
10,9o,3,1
10,9o,4,1.5
10,9o,5,1
10,8,1,1.5
10,8,2,2
10,8,3,1.5
10,8,4,2
10,8,5,1.5
10,9l,1,1.5
10,9l,2,1
10,9l,3,1
10,9l,4,1.5
10,9l,5,1.5
10,9r,1,2
10,9r,2,2
10,9r,3,2
10,9r,4,1.5
10,9r,5,1.5
10,7,1,2.5
10,7,2,2
10,7,3,2
10,7,4,2.5
10,7,5,2.5
10,1,1,2.5
10,1,2,4
10,1,3,3
10,1,4,4
10,1,5,2.5
10,2,1,1.5
10,2,2,2
10,2,3,2
10,2,4,1.5
10,2,5,1.5
10,3,1,1.5
10,3,2,1.5
10,3,3,1.5
10,3,4,2
10,3,5,1.5
10,4l,1,3.5
10,4l,2,5
10,4l,3,5
10,4l,4,5
10,4l,5,4
10,4r,1,3.5
10,4r,2,5
10,4r,3,4
10,4r,4,5
10,4r,5,5
10,5l,1,4
10,5l,2,2
10,5l,3,3
10,5l,4,2
10,5l,5,3.5
10,5r,1,5
10,5r,2,2
10,5r,3,3
10,5r,4,2.5
10,5r,5,3.5
11,9o,1,1
11,9o,2,1
11,9o,3,1
11,9o,4,1
11,9o,5,1
11,8,1,3
11,8,2,3.5
11,8,3,2.5
11,8,4,3.5
11,8,5,3
11,7l,1,2.5
11,7l,2,2.5
11,7l,3,2.5
11,7l,4,3
11,7l,5,2.5
11,7r,1,2.5
11,7r,2,3
11,7r,3,2.5
11,7r,4,2.5
11,7r,5,3
11,9l,1,2
11,9l,2,2
11,9l,3,2
11,9l,4,2.5
11,9l,5,2
11,9r,1,2
11,9r,2,2.5
11,9r,3,2
11,9r,4,2
11,9r,5,2.5
11,1,1,3
11,1,2,2.5
11,1,3,4.5
11,1,4,2.5
11,1,5,3
11,2,1,1.5
11,2,2,2
11,2,3,2
11,2,4,1.5
11,2,5,1.5
11,3,1,1.5
11,3,2,2
11,3,3,2
11,3,4,1.5
11,3,5,1.5
11,4l,1,5
11,4l,2,3
11,4l,3,5
11,4l,4,3.5
11,4l,5,4
11,4r,1,4
11,4r,2,3.5
11,4r,3,5
11,4r,4,3
11,4r,5,5
11,5l,1,3.5
11,5l,2,4.5
11,5l,3,2
11,5l,4,5
11,5l,5,3.5
11,5r,1,3.5
11,5r,2,5
11,5r,3,2
11,5r,4,4.5
11,5r,5,3.5
12,6,1,2.0
12,6,2,2.0
12,6,3,2.5
12,6,4,2.0
12,6,5,2.5
12,8l,1,2.0
12,8l,2,2.5
12,8l,3,2.0
12,8l,4,2.0
12,8l,5,2.5
12,7r,1,2.5
12,7r,2,2.0
12,7r,3,2.5
12,7r,4,2.5
12,7r,5,2.0
12,7l,1,2.5
12,7l,2,3.5
12,7l,3,2.0
12,7l,4,2.5
12,7l,5,2.5
12,8r,1,2.5
12,8r,2,2.0
12,8r,3,1.5
12,8r,4,2.0
12,8r,5,1.5
12,1,1,4.0
12,1,2,3.0
12,1,3,2.5
12,1,4,3.0
12,1,5,2.5
12,2,1,1.5
12,2,2,2.0
12,2,3,1.5
12,2,4,1.5
12,2,5,2.0
12,3,1,1.5
12,3,2,2.0
12,3,3,1.5
12,3,4,1.5
12,3,5,2.0
12,4l,1,5.0
12,4l,2,5.0
12,4l,3,3.0
12,4l,4,4.0
12,4l,5,3.5
12,4r,1,5.0
12,4r,2,4.0
12,4r,3,3.5
12,4r,4,5.0
12,4r,5,3.0
12,5l,1,3.0
12,5l,2,4.5
12,5l,3,4.5
12,5l,4,4.0
12,5l,5,5.0
12,5r,1,3.5
12,5r,2,4.0
12,5r,3,5.0
12,5r,4,4.5
12,5r,5,4.5
13,9,1,1.0
13,9,2,1.0
13,9,3,1.0
13,9,4,1.0
13,9,5,1.0
13,6,1,3.0
13,6,2,1.5
13,6,3,2.5
13,6,4,3.0
13,6,5,2.5
13,6r,1,3.5
13,6r,2,2.5
13,6r,3,2.5
13,6r,4,3
13,6r,5,3
13,8,1,2.0
13,8,2,2.5
13,8,3,2.0
13,8,4,2.0
13,8,5,2.0
13,7l,1,2.5
13,7l,2,3.0
13,7l,3,3.0
13,7l,4,2.5
13,7l,5,2.0
13,7r,1,3
13,7r,2,3.5
13,7r,3,3
13,7r,4,2.5
13,7r,5,3.5
13,1,1,2.0
13,1,2,3.5
13,1,3,2.5
13,1,4,2.0
13,1,5,2.5
13,2,1,1.5
13,2,2,1.5
13,2,3,2.0
13,2,4,2.0
13,2,5,1.5
13,3,1,2.0
13,3,2,2.0
13,3,3,1.5
13,3,4,1.5
13,3,5,2.0
13,4l,1,3.0
13,4l,2,5.0
13,4l,3,5.0
13,4l,4,3.5
13,4l,5,3.5
13,4r,1,4.0
